"year" "chlo.a" "Cat"
"1" 1950 1.4 "El nina"
"2" 1951 2.2 "El nino"
"3" 1952 1.2 "El nino"
"4" 1953 2 "El nino"
"5" 1954 2.8 "El nina"
"6" 1955 4 "El nina"
"7" 1956 3.6 "El nina"
"8" 1957 2.2 "El nino"
"9" 1958 1.6 "El nino"
"10" 1959 1.6 "El nino"
"11" 1960 1.4 "El nina"
"12" 1961 4.8 "El nina"
"13" 1962 6 "El nina"
"14" 1963 2.2 "El nino"
"15" 1964 1.2 "El nino"
"16" 1965 2.2 "El nino"
"17" 1966 1.8 "El nino"
"18" 1967 2 "El nina"
"19" 1968 1.8 "El nino"
"20" 1969 2 "El nino"
"21" 1970 1.4 "El nina"
"22" 1971 5.4 "El nina"
"23" 1972 2 "El nino"
"24" 1973 2.4 "El nino"
"25" 1974 5 "El nina"
"26" 1975 2.8 "El nina"
"27" 1976 2.6 "El nino"
"28" 1977 2.6 "El nino"
"29" 1978 1.6 "El nino"
"30" 1979 2.2 "El nino"
"31" 1980 2.6 "El nino"
"32" 1981 1.2 "El nina"
"33" 1982 1.4 "El nino"
"34" 1983 1.6 "El nino"
"35" 1984 3 "El nina"
"36" 1985 4.2 "El nina"
"37" 1986 1.6 "El nino"
"38" 1987 1.6 "El nino"
"39" 1988 2.2 "El nina"
"40" 1989 4.6 "El nina"
"41" 1990 3.6 "El nina"
"42" 1991 2 "El nino"
"43" 1992 1.8 "El nino"
"44" 1993 1.6 "El nino"
"45" 1994 1.2 "El nino"
"46" 1995 5.8 "El nina"
"47" 1996 2.6 "El nina"
"48" 1997 2.6 "El nino"
"49" 1998 1.6 "El nino"
"50" 1999 1.8 "El nina"
"51" 2000 2.4 "El nina"
"52" 2001 5.2 "El nina"
"53" 2002 2 "El nino"
"54" 2003 1.6 "El nino"
"55" 2004 2 "El nino"
"56" 2005 1.8 "El nina"
"57" 2006 3.6 "El nina"
"58" 2007 3 "El nina"
"59" 2008 2.8 "El nina"
"60" 2009 1.8 "El nino"
"61" 2010 1.4 "El nino"
"62" 2011 2 "El nina"
"63" 2012 6.6 "El nina"
"64" 2013 2.2 "El nina"
"65" 2014 2.6 "El nino"
"66" 2015 2 "El nino"
"67" 2016 1.8 "El nino"
"68" 2017 2.8 "El nina"
"69" 2018 2.6 "El nina"
"70" 2019 1.2 "El nino"
"71" 2020 6.6 "El nina"
"72" 2021 5 "El nina"
"73" 2022 3 "El nina"
"74" 2023 2.2 "El nino"
